id,issue_id,name
p1,i1,Overturn Roe v. Wade
p2,i1,Maintain Roe v. Wade
p3,i1,Repeal state-level restrictions to abortions
p4,i1,Invest in birth control education programs
p5,i1,Enact state-level restrictions to abortions
p8,i1,Assure affordable contraception for all
p9,i2,Uphold the 2nd amendment
p10,i2,Create semi-automatic weapon tax
p11,i2,Make gun locks compulsory
p12,i2,Repeal the 2nd amendment
p13,i3,Tax privatized water usage
p14,i3,Make allocation transparent
p15,i3,Fines for law breakers
p16,i3,Make clean water a human right
p17,i4,Raise minimum wage
p18,i4,Give tax breaks to U.S employers
p19,i4,Higher taxes on the rich
p20,i4,Improve public education
p21,i4,Prosecute tax dodgers
p22,i4,Close tax loopholes
